id,repository_id,url,stars,commit_count,sizes,fork,release_count,release_id,repos_addr
2987,119018,https://github.com/talios/clojure-maven-plugin,213,502,554,71,49,NULL,NULL
2988,1177240,https://github.com/maxpower47/PinDroid,256,941,19478,59,64,NULL,NULL
2989,3713426,https://github.com/imotov/elasticsearch-analysis-morphology,295,101,234,45,58,NULL,NULL
2990,2982059,https://github.com/sbtourist/Journal.IO,246,150,1169,32,8,NULL,NULL
2991,4446385,https://github.com/frapontillo/ImageViewEx,230,83,5219,71,8,NULL,NULL
2992,383490,https://github.com/davidar/lljvm,279,76,634,46,2,NULL,NULL
2993,1019228,https://github.com/jhalterman/typetools,319,162,263,50,14,NULL,NULL
2994,4719593,https://github.com/agoncal/agoncal-book-javaee7,251,500,12500,226,0,NULL,NULL
2995,4390160,https://github.com/jmhodges/opposite_of_a_bloom_filter,310,13,16,29,0,NULL,NULL
2996,2403733,https://github.com/thialfihar/apg,234,4367,64881,81,3,NULL,NULL
2997,1411730,https://github.com/mono/sharpen,283,335,2033,118,0,NULL,NULL
2998,1062907,https://github.com/infinitest/infinitest,499,437,85370,127,14,NULL,NULL
2999,194897,https://github.com/mikiobraun/jblas,424,392,80517,123,11,NULL,NULL
3000,1597396,https://github.com/nyholku/purejavacomm,211,498,10807,97,1,NULL,NULL
3001,37399,https://github.com/rictic/code_swarm,324,381,37650,57,0,NULL,NULL
3002,2194040,https://github.com/rdio/rdio-simple,218,94,1308,85,0,NULL,NULL
3003,2914073,https://github.com/moxie0/AndroidPinning,492,11,433,105,0,NULL,NULL
3004,832676,https://github.com/apache/karaf,354,7007,59443,411,72,NULL,NULL
3005,209853,https://github.com/caelum/caelum-stella,434,1375,14831,304,10,NULL,NULL
3006,657612,https://github.com/cgbystrom/netty-tools,259,90,662,65,8,NULL,NULL
3007,2564522,https://github.com/openstreetmap/osmosis,293,1705,13301,114,40,NULL,NULL
3008,2916197,https://github.com/elastic/elasticsearch-mapper-attachments,450,236,6860,100,28,NULL,NULL
3010,2641024,https://github.com/velazcod/Tinfoil-Facebook,227,308,32503,65,36,NULL,NULL
3011,2878641,https://github.com/stefanbirkner/system-rules,325,150,1613,49,28,NULL,NULL
3012,492968,https://github.com/m2ym/rsense,229,140,11807,12,3,NULL,NULL
3013,1016715,https://github.com/jhalterman/concurrentunit,265,119,327,30,11,NULL,NULL
3014,3669866,https://github.com/ebraminio/DroidPersianCalendar,250,1152,28757,110,33,NULL,NULL
3015,44749,https://github.com/clarkware/jdepend,255,20,680,76,1,NULL,NULL
3016,2957374,https://github.com/peter-lawrey/Java-Thread-Affinity,341,129,399,77,0,NULL,NULL
3017,1615797,https://github.com/rjeschke/txtmark,373,118,710,83,9,NULL,NULL
